==========As_Se=========
System  Ratio  Ef          Source ICSD_ID                  ICSD   Aflow  Delta                         
AsxSey  1.0    0.030979    Se     Se8_ICSD_2718            False  None   0.03098                       
AsxSey  0.429  -0.0918994  As_Se  As4Se3_ICSD_611376       False  True   0.00897                       
AsxSey  0.6    -0.1286704  As_Se  As2Se3_ICSD_611373       False  True   0.01254                       
AsxSey  0.5    -0.1077217  As_S   As1S1_ICSD_86228         False  False  0.00996                       
AsxSey  0.529  -0.0989981  As_S   As8S9_ICSD_98792         False  False  0.0256                        
AsxSey  0.556  -0.1057999  As_S   As4S5_ICSD_98901         False  False  0.02495                       
AsxSey  0.6    -0.1250604  As_S   As2S3_ICSD_185819        False  False  0.01615                       
AsxSey  0.667  -0.0938521  As_S   As1S2_ICSD_424590        False  False  0.02383                       
AsxSey  0.714  -0.0733732  As_O   As2O5_ICSD_987           False  False  0.02749                       
AsxSey  0.429  -0.0931776  P_Se   P4Se3_ICSD_40204         False  False  0.00769                       
AsxSey  0.556  -0.0432424  P_Se   P4Se5_ICSD_16140         False  False  0.08751                       
AsxSey  0.714  -0.0591036  P_Se   P2Se5_ICSD_74546         False  False  0.04176                       
AsxSey  0.556  -0.0726449  P_S    P4S5_ICSD_16681          False  False  0.05811                       
AsxSey  0.778  0.0115685   P_S    P2S7_ICSD_423062         False  False  0.09002                       
AsxSey  0.778  0.0170855   P_S    P2S7_ICSD_423061         False  False  0.09554                       
==========Bi_S=========
System  Ratio  Ef          Source ICSD_ID                  ICSD   Aflow  Delta                         
BixSy   0.0    0.013782    Bi     Bi1_ICSD_64703           True   None   0.01378                       
BixSy   0.0    0.036942    Bi     Bi1_ICSD_42679           True   None   0.03694                       
BixSy   1.0    0.0110513   S      S12_ICSD_26463           False  None   0.01105                       
BixSy   1.0    0.0113654   S      S18_ICSD_15766           False  None   0.01137                       
BixSy   1.0    0.0192949   S      S14_ICSD_408504          False  None   0.01929                       
BixSy   1.0    0.0235366   S      S10_ICSD_38263           False  None   0.02354                       
BixSy   1.0    0.0287821   S      S7_ICSD_16469            False  None   0.02878                       
BixSy   1.0    0.0301121   S      S18_ICSD_6002            False  None   0.03011                       
BixSy   1.0    0.0307008   S      S9_ICSD_404231           False  None   0.0307                        
BixSy   1.0    0.0879527   S      S8_ICSD_82372            False  None   0.08795                       
BixSy   0.667  -0.2300379  Bi_S   Bi1S2_ICSD_194722        False  None   0.01742                       
BixSy   0.429  -0.1661165  Bi_Se  Bi4Se3_ICSD_617074       False  True   0.04599                       
BixSy   0.5    -0.2168855  Bi_Se  Bi1Se1_ICSD_617073       False  True   0.03057                       
BixSy   0.529  -0.2304768  Bi_Se  Bi8Se9_ICSD_42665        False  False  0.03154                       
BixSy   0.571  -0.1851351  Bi_Se  Bi3Se4_ICSD_20386        False  True   0.09767                       
BixSy   0.6    -0.279322   Bi_Se  Bi2Se3_ICSD_617101       False  True   0.01762                       
BixSy   0.6    -0.281438   Bi_O   Bi2O3_ICSD_186365        False  True   0.01551                       
BixSy   0.6    -0.264398   Bi_O   Bi2O3_ICSD_94231         False  False  0.03255                       
BixSy   0.6    -0.2478904  Bi_O   Bi2O3_ICSD_168813        False  False  0.04906                       
BixSy   0.6    -0.2204305  Bi_O   Bi2O3_ICSD_421856        False  False  0.07652                       
BixSy   0.6    -0.1981845  Bi_O   Bi2O3_ICSD_168815        False  False  0.09876                       
BixSy   0.5    -0.1604473  P_S    P4S4_ICSD_1703           False  False  0.08701                       
BixSy   0.6    -0.2258365  P_S    P4S6_ICSD_423037         False  False  0.07111                       
BixSy   0.6    -0.2494515  As_S   As2S3_ICSD_185819        False  False  0.0475                        
BixSy   0.667  -0.2188534  As_S   As1S2_ICSD_424590        False  False  0.0286                        
BixSy   0.667  -0.2283529  mp     mp-971675                False  None   0.0191                        
==========Ti_S=========
System  Ratio  Ef          Source ICSD_ID                  ICSD   Aflow  Delta                         
TixSy   0.0    0.0025343   Ti     Ti1_ICSD_52521           True   None   0.00253                       
TixSy   0.0    0.00812     Ti     Ti1_ICSD_52522           True   None   0.00812                       
TixSy   0.0    0.079474    Ti     Ti1_ICSD_41503           True   None   0.07947                       
TixSy   0.0    0.080377    Ti     Ti1_ICSD_44391           True   None   0.08038                       
TixSy   1.0    0.0110512   S      S12_ICSD_26463           False  None   0.01105                       
TixSy   1.0    0.0113654   S      S18_ICSD_15766           False  None   0.01137                       
TixSy   1.0    0.0192949   S      S14_ICSD_408504          False  None   0.01929                       
TixSy   1.0    0.0235366   S      S10_ICSD_38263           False  None   0.02354                       
TixSy   1.0    0.0287821   S      S7_ICSD_16469            False  None   0.02878                       
TixSy   1.0    0.0301121   S      S18_ICSD_6002            False  None   0.03011                       
TixSy   1.0    0.0307008   S      S9_ICSD_404231           False  None   0.0307                        
TixSy   1.0    0.0879527   S      S8_ICSD_82372            False  None   0.08795                       
TixSy   0.333  -1.2057817  Ti_S   S1Ti2_ICSD_110698        False  True   0.01961                       
TixSy   0.5    -1.5723392  Ti_S   S1Ti1_ICSD_76036         False  True   0.0745                        
TixSy   0.75   -1.1382364  Ti_S   S3Ti1_ICSD_651219        False  True   0.08756                       
TixSy   0.182  -0.6669344  Ti_Se  Se2Ti9_ICSD_404193       False  True   0.00146                       
TixSy   0.444  -1.4164424  Ti_Se  Se4Ti5_ICSD_55075        False  True   0.08992                       
TixSy   0.5    -1.588655   Ti_Se  Se1Ti1_ICSD_652036       False  True   0.05819                       
TixSy   0.571  -1.6206322  Ti_Se  Se4Ti3_ICSD_60134        False  None   0.03906                       
TixSy   0.571  -1.6206322  Ti_Se  Se4Ti3_ICSD_601347       False  True   0.03906                       
TixSy   0.143  -0.4595843  A_S    S1Ta6_ICSD_16041         False  False  0.06559                       
TixSy   0.143  -0.4449993  A_S    S1Ta6_ICSD_202564        False  False  0.08017                       
TixSy   0.2    -0.6370062  A_S    Pd4S1_ICSD_23865         False  False  0.09823                       
TixSy   0.25   -0.9171397  A_S    Fe3S1_ICSD_633291        False  True   0.00191                       
TixSy   0.25   -0.8623616  A_S    S1V3_ICSD_26515          False  False  0.05669                       
TixSy   0.25   -0.857551   A_S    S1V3_ICSD_26516          False  False  0.0615                        
TixSy   0.276  -0.9936805  A_S    Nb21S8_ICSD_76568        False  False  0.02044                       
TixSy   0.333  -1.1582973  A_S    Ag2S1_ICSD_262634        False  False  0.0671                        
TixSy   0.5    -1.5761243  A_S    Fe1S1_ICSD_68847         False  False  0.07072                       
TixSy   0.5    -1.5718912  A_S    La1S1_ICSD_77831         False  False  0.07495                       
TixSy   0.5    -1.570719   A_S    Cr1S1_ICSD_16723         False  False  0.07612                       
TixSy   0.5    -1.5674166  A_S    Fe1S1_ICSD_156618        False  False  0.07942                       
TixSy   0.533  -1.596762   A_S    Fe7S8_ICSD_8064          False  False  0.05608                       
TixSy   0.533  -1.5929216  A_S    Fe7S8_ICSD_9146          False  False  0.05992                       
TixSy   0.533  -1.5877855  A_S    Fe7S8_ICSD_151765        False  False  0.06505                       
TixSy   0.545  -1.6118548  A_S    Cr5S6_ICSD_16719         False  False  0.04316                       
TixSy   0.6    -1.6217401  A_S    Cr2S3_ICSD_16720         False  False  0.03036                       
TixSy   0.6    -1.6213425  A_S    Cr2S3_ICSD_16721         False  False  0.03076                       
TixSy   0.6    -1.6148535  A_S    Mo2S3_ICSD_602115        False  False  0.03725                       
TixSy   0.6    -1.6133816  A_S    S3Sc2_ICSD_22236         False  False  0.03872                       
TixSy   0.6    -1.5774816  A_S    As2S3_ICSD_15239         False  False  0.07462                       
TixSy   0.6    -1.5740096  A_S    Al2S3_ICSD_609250        False  False  0.07809                       
TixSy   0.6    -1.5717945  A_S    Lu2S3_ICSD_642571        False  False  0.08031                       
TixSy   0.6    -1.5654458  A_S    P4S6_ICSD_78765          False  False  0.08665                       
